CUDA: False
Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=17100, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250802/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.8, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
PPO Args ---> Namespace(algo='ppo', lr=0.0003, eps=1e-05, alpha=0.99, gamma=0.99, use_gae=True, gae_lambda=0.95, entropy_coef=0.005, value_loss_coef=0.5, max_grad_norm=0.5, seed=17100, cuda_deterministic=False, num_processes=2, num_steps=2048, ppo_epoch=10, num_mini_batch=2, clip_param=0.2, log_interval=1, save_interval=100, no_cuda=False, use_proper_time_limits=False, recurrent_policy=True, use_linear_lr_decay=True, env_name='plume', log_dir='/tmp/gym/', save_dir='./trained_models/ExptWalking20250802/', dynamic=False, eval_type='fixed', eval_episodes=20, eval_interval=None, weight_decay=0.00012, rnn_type='VRNN', hidden_size=64, betadist=False, stacking=0, masking=None, stride=1, dataset=['constantx5b5', 'noisy3x5b5'], num_env_steps=[1000000, 10000], qvar=[0.4, 0.5], birthx=[2.8, 3.0], diff_max=[0.8, 0.8], diff_min=[0.7, 0.4], birthx_max=1.0, dryrun=False, curriculum=False, turnx=1.0, movex=1.0, auto_movex=False, auto_reward=False, loc_algo='uniform', time_algo='uniform', env_dt=0.04, outsuffix='walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1', walking=True, radiusx=1.0, diffusion_min=1.0, diffusion_max=1.0, r_shaping=['step', 'oob', 'metabolic', 'found'], wind_rel=True, action_feedback=False, squash_action=True, flipping=True, odor_scaling=True, stray_max=2.0, test_episodes=50, viz_episodes=10, model_fname='', obs_noise=0.0, act_noise=0.0, cuda=False)
Using Precomputed Plume...
Using Precomputed Plume...
2025-08-02 08:20:36.623 python[18876:58834897] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
2025-08-02 08:20:36.623 python[18877:58834898] +[NSXPCSharedListener endpointForReply:withListenerName:replyErrorCode:]: an error occurred while attempting to obtain endpoint for listener 'ClientCallsAuxiliary': Connection invalid
Using Precomputed Plume...
PlumeEnvironment: {'self': <plume_env.PlumeEnvironment object at 0x16eb36d30>, 't_val_min': 10.0, 'sim_steps_max': 2200, 'reset_offset_tmax': 30, 'dataset': 'constantx5b5', 'move_capacity': 2.0, 'turn_capacity': 19.634954084936208, 'wind_obsx': 1.0, 'movex': 1.0, 'turnx': 1.0, 'birthx': 2.8, 'birthx_max': 1.0, 'env_dt': 0.04, 'loc_algo': 'uniform', 'qvar': 0.4, 'time_algo': 'uniform', 'angle_algo': 'uniform', 'homed_radius': 0.2, 'stray_max': 2.0, 'wind_rel': True, 'auto_movex': False, 'auto_reward': False, 'diff_max': 0.8, 'diff_min': 0.7, 'r_shaping': ['step', 'oob', 'metabolic', 'found'], 'rewardx': 1.0, 'rescale': False, 'squash_action': True, 'walking': True, 'walk_move': 0.05, 'walk_turn': 3.14159, 'radiusx': 1.0, 'diffusion_min': 1.0, 'diffusion_max': 1.0, 'action_feedback': False, 'flipping': True, 'odor_scaling': True, 'obs_noise': 0.0, 'act_noise': 0.0, 'dynamic': False, 'seed': 17100, 'verbose': 0, '__class__': <class 'plume_env.PlumeEnvironment'>}
Squashing actions to 0-1
constantx5b5
wind: t_val_diff 0.03999999999999915 env_dt 0.04
puffs: t_val_diff 0.03999999999999915 env_dt 0.04
Reward Shaping ['step', 'oob', 'metabolic', 'found']
Using MLPBase
hidden_size 64
Using VanillaRNN
Saved ./trained_models/ExptWalking20250802//plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt.start
Stage: 0/2 - constantx5b5 b2.8 q0.4 n1000000
Saved ./trained_models/ExptWalking20250802/plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt
Update 0/244, T 4096, FPS 195, 21-training-episode: mean/median 1.5/-2.9, min/max -6.9/96.8
Update 56/244, T 233472, FPS 203, 50-training-episode: mean/median 30.5/-1.9, min/max -3.3/100.8
Update 57/244, T 237568, FPS 203, 50-training-episode: mean/median 34.5/-2.0, min/max -4.1/100.6
Update 58/244, T 241664, FPS 203, 50-training-episode: mean/median 50.9/99.8, min/max -5.5/100.6
Update 59/244, T 245760, FPS 204, 50-training-episode: mean/median 46.7/-1.8, min/max -5.5/100.6
Update 60/244, T 249856, FPS 203, 50-training-episode: mean/median 40.5/-1.9, min/max -4.7/100.8
Update 61/244, T 253952, FPS 203, 50-training-episode: mean/median 44.7/-1.4, min/max -4.2/100.8
Update 62/244, T 258048, FPS 204, 50-training-episode: mean/median 48.8/49.0, min/max -4.0/100.8
Update 63/244, T 262144, FPS 204, 50-training-episode: mean/median 38.4/-1.9, min/max -4.0/100.8
Update 64/244, T 266240, FPS 204, 50-training-episode: mean/median 28.1/-2.4, min/max -4.6/100.8
Update 65/244, T 270336, FPS 204, 50-training-episode: mean/median 23.8/-2.7, min/max -4.6/100.7
Update 66/244, T 274432, FPS 204, 50-training-episode: mean/median 26.1/-2.2, min/max -4.2/100.7
Update 67/244, T 278528, FPS 204, 50-training-episode: mean/median 38.5/-1.7, min/max -6.0/100.7
Update 68/244, T 282624, FPS 204, 50-training-episode: mean/median 26.2/-1.8, min/max -6.0/100.8
Update 69/244, T 286720, FPS 204, 50-training-episode: mean/median 26.2/-1.9, min/max -5.1/100.7
Update 70/244, T 290816, FPS 204, 50-training-episode: mean/median 36.5/-1.8, min/max -5.5/100.8
Update 71/244, T 294912, FPS 204, 50-training-episode: mean/median 36.7/-1.8, min/max -5.5/109.8
Update 72/244, T 299008, FPS 203, 50-training-episode: mean/median 20.0/-2.8, min/max -5.8/109.8
Update 73/244, T 303104, FPS 204, 50-training-episode: mean/median 13.5/-2.9, min/max -6.8/100.8
Update 74/244, T 307200, FPS 203, 50-training-episode: mean/median 23.9/-2.5, min/max -6.8/100.8
Update 75/244, T 311296, FPS 203, 50-training-episode: mean/median 34.6/-1.8, min/max -5.3/100.8
Update 76/244, T 315392, FPS 203, 50-training-episode: mean/median 32.4/-2.0, min/max -3.8/100.9
Update 77/244, T 319488, FPS 203, 50-training-episode: mean/median 24.0/-2.2, min/max -6.4/100.9
Update 78/244, T 323584, FPS 203, 50-training-episode: mean/median 21.7/-2.8, min/max -6.4/100.9
Update 79/244, T 327680, FPS 203, 50-training-episode: mean/median 30.1/-2.3, min/max -5.8/100.9
Update 80/244, T 331776, FPS 203, 50-training-episode: mean/median 28.1/-2.2, min/max -5.8/100.8
Update 81/244, T 335872, FPS 203, 50-training-episode: mean/median 22.1/-2.5, min/max -4.0/100.9
Update 82/244, T 339968, FPS 204, 50-training-episode: mean/median 19.9/-2.4, min/max -6.3/100.9
Update 83/244, T 344064, FPS 204, 50-training-episode: mean/median 18.1/-2.1, min/max -6.3/100.9
Update 84/244, T 348160, FPS 204, 50-training-episode: mean/median 14.1/-2.1, min/max -4.3/100.8
Update 85/244, T 352256, FPS 203, 50-training-episode: mean/median 26.4/-2.1, min/max -4.3/100.9
Update 86/244, T 356352, FPS 203, 50-training-episode: mean/median 28.4/-2.0, min/max -5.5/100.9
Update 87/244, T 360448, FPS 203, 50-training-episode: mean/median 20.2/-1.9, min/max -5.5/100.8
Update 88/244, T 364544, FPS 203, 50-training-episode: mean/median 32.7/-1.6, min/max -3.8/100.7
Update 89/244, T 368640, FPS 203, 50-training-episode: mean/median 34.9/-1.7, min/max -3.2/100.9
Update 90/244, T 372736, FPS 203, 50-training-episode: mean/median 32.7/-1.8, min/max -5.6/100.9
Update 91/244, T 376832, FPS 203, 50-training-episode: mean/median 38.9/-1.5, min/max -5.6/100.9
Update 92/244, T 380928, FPS 203, 50-training-episode: mean/median 43.1/-1.4, min/max -2.9/100.9
Update 93/244, T 385024, FPS 203, 50-training-episode: mean/median 47.2/-1.5, min/max -3.2/100.9
Update 94/244, T 389120, FPS 203, 50-training-episode: mean/median 41.0/-1.6, min/max -3.8/100.8
Update 95/244, T 393216, FPS 203, 50-training-episode: mean/median 43.1/-1.4, min/max -3.8/100.9
Update 96/244, T 397312, FPS 203, 50-training-episode: mean/median 61.5/100.2, min/max -2.7/100.9
Update 97/244, T 401408, FPS 203, 50-training-episode: mean/median 45.1/-1.2, min/max -2.8/100.9
Update 98/244, T 405504, FPS 203, 50-training-episode: mean/median 51.2/99.2, min/max -2.8/100.9
Update 99/244, T 409600, FPS 203, 50-training-episode: mean/median 55.3/99.8, min/max -3.1/100.9
Saved ./trained_models/ExptWalking20250802/plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt
Saved ./trained_models/ExptWalking20250802/plume_walk-v6_20250802_VRNN_constantx5b5noisy3x5b5_stepoobmetabolicfound_bx2.83_t100000010000_q0.40.5_dmx0.80.8_dmn0.70.4_h64_wd0.00012_n2_walking_seed17100f1.pt.best
Update 100/244, T 413696, FPS 203, 50-training-episode: mean/median 53.3/99.9, min/max -3.1/100.9
Update 101/244, T 417792, FPS 203, 50-training-episode: mean/median 51.3/100.0, min/max -2.8/100.9
Update 102/244, T 421888, FPS 203, 50-training-episode: mean/median 59.6/100.2, min/max -2.4/100.9
Update 103/244, T 425984, FPS 203, 50-training-episode: mean/median 45.2/-1.4, min/max -2.5/100.8
Update 104/244, T 430080, FPS 203, 50-training-episode: mean/median 37.2/-1.6, min/max -2.7/109.9
Update 105/244, T 434176, FPS 203, 50-training-episode: mean/median 49.3/49.3, min/max -2.7/100.8
Update 106/244, T 438272, FPS 203, 50-training-episode: mean/median 47.3/-1.4, min/max -3.2/100.8
Update 107/244, T 442368, FPS 203, 50-training-episode: mean/median 41.2/-1.4, min/max -2.5/100.9
Update 108/244, T 446464, FPS 203, 50-training-episode: mean/median 41.2/-1.4, min/max -2.9/100.9
Update 109/244, T 450560, FPS 203, 50-training-episode: mean/median 39.0/-1.6, min/max -2.9/100.9
Update 110/244, T 454656, FPS 203, 50-training-episode: mean/median 43.2/-1.6, min/max -2.6/100.9
Update 111/244, T 458752, FPS 203, 50-training-episode: mean/median 41.1/-1.5, min/max -2.6/100.9
Update 112/244, T 462848, FPS 203, 50-training-episode: mean/median 45.1/-1.5, min/max -2.6/100.9
Update 113/244, T 466944, FPS 203, 50-training-episode: mean/median 41.0/-1.6, min/max -2.7/100.9
Update 114/244, T 471040, FPS 203, 50-training-episode: mean/median 51.3/100.2, min/max -2.5/100.9
Update 115/244, T 475136, FPS 203, 50-training-episode: mean/median 57.5/100.2, min/max -2.5/100.9
Update 116/244, T 479232, FPS 203, 50-training-episode: mean/median 51.5/99.9, min/max -2.9/100.8
Update 117/244, T 483328, FPS 203, 50-training-episode: mean/median 55.6/100.2, min/max -2.9/100.9
Update 118/244, T 487424, FPS 203, 50-training-episode: mean/median 73.9/100.5, min/max -2.9/100.9
Update 119/244, T 491520, FPS 203, 50-training-episode: mean/median 69.8/100.4, min/max -2.6/100.9
Update 120/244, T 495616, FPS 203, 50-training-episode: mean/median 43.1/-1.4, min/max -3.9/100.9
Update 121/244, T 499712, FPS 203, 50-training-episode: mean/median 57.4/100.1, min/max -3.9/100.9
Update 122/244, T 503808, FPS 203, 50-training-episode: mean/median 67.6/100.4, min/max -4.8/101.0
Update 123/244, T 507904, FPS 203, 50-training-episode: mean/median 53.3/100.1, min/max -4.8/101.0
Update 124/244, T 512000, FPS 203, 50-training-episode: mean/median 49.2/49.4, min/max -3.2/100.9
Update 125/244, T 516096, FPS 203, 50-training-episode: mean/median 47.1/-1.5, min/max -3.5/100.9
Update 126/244, T 520192, FPS 203, 50-training-episode: mean/median 55.4/100.3, min/max -3.0/100.9
Update 127/244, T 524288, FPS 203, 50-training-episode: mean/median 51.4/100.0, min/max -2.7/100.9
Update 128/244, T 528384, FPS 203, 50-training-episode: mean/median 51.2/99.9, min/max -3.3/100.9
Update 129/244, T 532480, FPS 203, 50-training-episode: mean/median 51.3/100.0, min/max -3.2/100.9
Update 130/244, T 536576, FPS 203, 50-training-episode: mean/median 47.1/-1.3, min/max -4.9/100.9
Update 131/244, T 540672, FPS 203, 50-training-episode: mean/median 38.8/-1.7, min/max -4.9/100.9
Update 132/244, T 544768, FPS 203, 50-training-episode: mean/median 38.8/-1.6, min/max -3.9/100.9
Update 133/244, T 548864, FPS 203, 50-training-episode: mean/median 43.0/-1.4, min/max -3.5/100.9
Update 134/244, T 552960, FPS 203, 50-training-episode: mean/median 47.2/-1.3, min/max -3.7/100.9
Update 135/244, T 557056, FPS 203, 50-training-episode: mean/median 57.4/100.3, min/max -3.7/100.9
Update 136/244, T 561152, FPS 203, 50-training-episode: mean/median 49.2/49.4, min/max -3.3/100.9
Update 137/244, T 565248, FPS 202, 50-training-episode: mean/median 49.5/49.2, min/max -3.3/110.6
Update 138/244, T 569344, FPS 202, 50-training-episode: mean/median 43.4/-1.4, min/max -2.8/110.6
Update 139/244, T 573440, FPS 203, 50-training-episode: mean/median 55.5/100.0, min/max -3.4/101.0
Update 140/244, T 577536, FPS 202, 50-training-episode: mean/median 43.7/-1.2, min/max -2.9/101.0
Update 141/244, T 581632, FPS 202, 50-training-episode: mean/median 59.9/100.3, min/max -2.5/100.9
Update 142/244, T 585728, FPS 202, 50-training-episode: mean/median 65.7/100.4, min/max -2.9/100.9
Update 143/244, T 589824, FPS 202, 50-training-episode: mean/median 61.6/100.4, min/max -2.9/100.9
Update 144/244, T 593920, FPS 202, 50-training-episode: mean/median 71.9/100.3, min/max -2.9/101.0
Update 145/244, T 598016, FPS 202, 50-training-episode: mean/median 67.7/100.1, min/max -2.7/101.0
Update 146/244, T 602112, FPS 202, 50-training-episode: mean/median 65.6/100.2, min/max -2.6/100.9
Update 147/244, T 606208, FPS 202, 50-training-episode: mean/median 69.9/100.2, min/max -2.6/100.9
Update 148/244, T 610304, FPS 202, 50-training-episode: mean/median 71.8/100.3, min/max -2.2/100.9
Update 149/244, T 614400, FPS 202, 50-training-episode: mean/median 61.7/100.3, min/max -2.6/100.9
Update 150/244, T 618496, FPS 202, 50-training-episode: mean/median 65.7/100.3, min/max -2.6/100.9
Update 151/244, T 622592, FPS 202, 50-training-episode: mean/median 65.7/100.2, min/max -2.4/100.9
Update 152/244, T 626688, FPS 202, 50-training-episode: mean/median 49.3/49.1, min/max -2.4/100.9
Update 153/244, T 630784, FPS 202, 50-training-episode: mean/median 57.5/100.0, min/max -2.5/100.9
Update 154/244, T 634880, FPS 202, 50-training-episode: mean/median 59.6/100.3, min/max -2.5/100.9
